配 件 信 息 一 览 表,,,,,,,,,,,
PEI JIAN XIN XI YI LAN BIAO,,,,,,,,,,,
打印日期：,2017/5/3,,,,,,,,,,
序号,配件编码,类别,单位,重量,一级进价,一级销价,名称,供应商名称,公司名称,定价公司,定价公司
2050,3345JL,机滤,只,,0,0,机滤,,,01,01
2051,3349JL1,机滤,只,,0,0,机滤,,,01,01
2052,334BXLMDDKG,组合开关,只,,60,70,大灯开关,,,01,01
2053,3369HYBLDHKG,点火开关,只,,0,0,点火开关,,,01,01
2054,337BSTRZHKG,组合开关,只,,62,70,组合开关,,,01,01
2055,339d1zhkgBLZHKG,大灯开关,只,,19,20,组合开关,,,01,01
2056,33LTTT,千斤顶,只,,0,0,轮胎套铜,,,01,01
2057,3401-0001,保险丝,只,,1.5,0,保险丝插片,,,01,01
2058,341CLZHKG,组合开关,只,,0,0,组合开关,,,01,01
2059,350ZHKG,组合开关,只,,50,55,组合开关,,,01,01
2060,350ZP,雨刮片,只,,0,0,雨刮片,,,01,01
2061,35140044510sczb,重汽备品,只,,0,0,刹车总泵,,,01,01
2062,3515MASHL,四回路,只,,65,0,四回路,,,01,01
2063,3515MC-CSHL,四回路,只,,0,0,四回路,,,01,01
2064,3515MC-CSHL1,四回路,只,,0,0,四回路,,,01,01
2065,3515MCSHL,四回路,只,,0,0,四回路,,,01,01
2066,3515MCSHL1,重汽备品,只,,0,0,四回路,,,01,01
2067,3515MD-CSHL,四回路,只,,0,0,四回路,,,01,01
2068,3518AAJDF,瑞立,只,,0,0,继动阀,,,01,01
2069,3518ABJDFbcjdf,瑞立,只,,0,0,继动阀,,,01,01
2070,3518AGJDF,瑞立,只,,0,0,继动阀,,,01,01
2071,3518AGJDF1,瑞立,只,,0,0,继动阀,,,01,01
2072,3518BGCJDF,瑞立,只,,0,0,继动阀,,,01,01
2073,3518BG-CJDF,瑞立,只,,0,0,继动阀,,,01,01
2074,3518CBJDF,瑞立,只,,0,0,继动阀,,,01,01
2075,3518CCJDF,瑞立,只,,0,0,继动阀,,,01,01
2076,3518FZ153zqJDF,瑞立,只,,110,110,继动阀,,,01,01
2077,3518GCJDF,瑞立,只,,0,0,继动阀,,,01,01
2078,3518GEJDF,瑞立,只,,0,0,继动阀,,,01,01
2079,3518GKJDF,瑞立,只,,0,0,继动阀,,,01,01
2080,3518GZJDF,瑞立,只,,240,260,继动阀,,,01,01
2081,3518HEJDF,瑞立,只,,0,0,继动阀,,,01,01
